status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
transfer to 249F;0x641150b8fd10cb46469028c48f46aa659a80ed81; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
token not transferred;0x4e07662c9c9fa9962922c5de07d0deb9ef512c3f; 999 193,42 ;; 999 193,42 ;ok;;;;
transfer to 249F;0xc56bff19280b1a638dcfba1da17e0595d8a99e03; 996 975,70 ;; 996 975,70 ;;;;;
token not transferred;0x06542c19bd50d74dd4354ed9963b89ed0af91a73; 996 739,85 ;-679 580,00 ; 317 159,85 ;post LP drain after /10 of the price;;;;
transfer to 249F;0xed7a8e9d70a1c7f5a10b608d368ea7140a563638; 992 044,38 ;; 992 044,38 ;;;;;
transfer to 249F;0x6ca63c51fc32f2ee2747ac64914d46d31f5e56de; 976 060,00 ;; 976 060,00 ;;;;;
transfer to 249F;0x2ea26c801a660e7fcc132dc53348b41d87da1db7; 965 452,76 ;; 965 452,76 ;;;;;
transfer to 249F;0x16183974b547c95ce64738630f9400c48c8d74c9; 961 325,70 ;; 961 325,70 ;;;;;
transfer to 249F;0x13b586c3de7e5e9e5d889abf9cb0212111123594; 960 822,77 ;; 960 822,77 ;;;;;
transfer to 249F;0x96f5718a2b665faecc888733408e68d954037ed5; 959 298,11 ;; 959 298,11 ;;;;;
transfer to 249F;0x2825b0ea4094baa4d63319cccc34f2ad8f8f9446; 953 144,09 ;; 953 144,09 ;;;;;
transfer to 249F;0xfe4c338dedf23e6f1e7d332f8eccc0ba9952d0ca; 951 332,25 ; 31,00 ; 951 363,25 ;;;;;
transfer to 249F;0x7868af687efb6b2b120d3316aae08de65e87527b; 950 000,00 ; 197 123,86 ; 1 147 123,86 ;2 fransfers including unstaking;;;;
transfer to 249F;0xc1f7aed748a5eb0580f55cb9dbd9f65e942fa8cb; 949 555,51 ; 24,89 ; 949 580,40 ;;;;;
transfer to 249F;0x41a6972fa8b8007dc40778480382ab347aa4509f; 944 099,40 ;; 944 099,40 ;;;;;
transfer to 249F;0x3eb262e9fd666f06ae6a71ec3d835fb9c1561dc4; 943 625,82 ;; 943 625,82 ;;;;;
transfer to 249F;0xe9258147d30fb0c7f8e35ba73c000c536e1766d9; 943 613,34 ;; 943 613,34 ;;;;;
transfer to 249F;0xa9228b632c9b3c1b4fafb1bb8c3681ffae65262e; 920 785,76 ;; 920 785,76 ;;;;;
token not transferred;0x99c49a62ad61c80a67b1074b55564cce83f84759; 903 716,38 ;; 903 716,38 ;;;;;
transfer to 249F;0xfd4a6de6395c95182d589cd314fbcce6b18cf9e6; 890 658,99 ;; 890 658,99 ;;;;;
token not transferred;0x6f7953675c54a293020b173addd81e0fa1702d5a; 887 369,50 ;; 887 369,50 ;;;;;
transfer to 249F;0xb9268c0e4b2490126fd0ebdf7fe00c45bb51fde0; 884 073,68 ;; 884 073,68 ;;;;;
transfer to 249F;0xa3f20299103453cdf4a6ff89bf4b0b35be5d9f23; 871 581,91 ;; 871 581,91 ;;;;;
transfer to 249F;0x1aba2d634b85251f9bb8d000ac48277227a96e07; 864 911,36 ;; 864 911,36 ;;;;;
transfer to 249F;0xf1f32a8a4ad827500e46a052155dd3b36641661d; 860 004,53 ;; 860 004,53 ;;;;;
transfer to 249F;0xc3f57f918d12f3a34f4750e13ec95abe82fb522b; 856 949,43 ;; 856 949,43 ;;;;;
transfer to 249F;0xfedfbb73b07c6863d912868419fcf8ec106d8acb; 853 963,15 ;; 853 963,15 ;;;;;
transfer to 249F;0x6168ae590f9e87e9ca5a2110e96e640d4634daf6; 825 605,16 ;; 825 605,16 ;;;;;
transfer to 249F;0x2060061f43c7330df80229800231a7498a705f3f; 815 804,47 ;; 815 804,47 ;;;;;
